Categories,Descriptions,PdDistricts,Months,Day,TimeOfDay,ZipCode,Resolutions
16,25,7,4,0,2,94103,0
16,25,7,4,0,2,94103,0
15,39,0,0,1,0,94124,0
6,19,9,4,5,1,94108,1
6,19,3,4,0,3,94102,1
0,3,4,4,0,1,94109,1
8,25,7,4,2,3,94103,0
6,25,9,4,2,3,94103,1
15,39,7,4,2,2,94158,0
5,10,0,4,0,2,94124,1
4,25,8,4,0,1,94122,1
6,2,8,4,2,0,94116,1
8,31,0,4,1,1,94124,0
0,25,2,11,4,2,94112,0
1,25,1,4,2,3,94104,1
7,25,7,4,2,2,94103,0
9,25,3,4,2,0,94110,1
0,25,3,4,2,0,94110,1
0,3,2,4,2,0,94112,1
3,25,4,4,2,1,94102,1
15,39,4,4,3,3,94109,0
2,30,3,4,3,3,94110,0
8,25,3,4,3,3,94110,0
0,35,6,4,3,2,94122,0
8,25,8,4,3,0,94132,0
8,20,3,4,3,2,94114,1
1,25,4,4,3,0,94109,0
8,37,3,4,3,0,94110,0
6,1,2,4,3,0,94112,1
14,33,1,4,3,0,94108,1
14,32,1,4,3,2,94104,1
4,29,2,3,5,2,94110,1
0,25,9,3,5,0,94108,1
7,25,3,3,5,0,94110,0
8,25,3,3,5,0,94110,0
6,25,2,4,3,1,94131,1
6,2,7,3,0,0,94102,1
9,25,8,4,1,0,94132,0
8,25,2,4,1,1,94110,1
13,25,9,4,1,1,94102,1
0,35,7,4,3,1,94103,1
4,13,3,4,1,1,94103,1
6,2,7,4,1,1,94103,1
1,25,3,4,1,1,94103,1
7,25,3,4,1,1,94103,1
1,25,2,10,6,1,94112,0
2,25,2,10,6,1,94112,0
5,24,7,1,5,2,94158,1
5,10,7,1,5,2,94158,1
0,25,7,4,1,1,94103,1
5,10,7,4,1,1,94103,1
14,33,4,4,5,3,94102,1
15,39,0,4,5,3,94134,0
13,22,9,4,1,2,94103,1
6,25,3,4,5,2,94110,1
3,25,7,5,4,1,94103,0
0,25,1,4,5,0,94104,1
8,7,4,4,5,0,94102,0
8,7,0,4,5,0,94124,0
4,13,5,4,5,0,94117,1
5,24,4,4,5,2,94102,1
5,10,4,4,5,2,94102,1
15,39,5,4,5,0,94115,0
6,2,0,4,5,0,94134,1
6,25,1,4,5,0,94104,1
15,39,1,4,5,0,94108,0
7,25,7,4,5,0,94103,0
8,25,7,4,5,0,94103,0
